date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:38:52	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Dec%202015%2002:38:51%20GMT	http://bootstraplovers.com/robots.txt		(from )
21:38:52	33440/33440	---M--	200	added ('OK')	text/html	etag:%224cc1da6-82a0-52322c8c88d00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/index.html	(from )
21:38:54	122540/122540	---M--	200	added ('OK')	text/css	etag:%224cc00db-1deac-518aab690c080%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/bootstrap/css/bootstrap.min.css	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/bootstrap/css/bootstrap.min.css	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
21:38:55	57193/57193	---M--	200	added ('OK')	text/css	etag:%224cc0107-df69-517f7d8032900%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/icons/css/ionicons.css	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/icons/css/ionicons.css	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
21:38:56	38596/38596	---M--	200	added ('OK')	text/css	etag:%224cc0103-96c4-5232ae0858a80%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/css/style.css	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/css/style.css	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
21:38:58	5205/5205	---M--	200	added ('OK')	text/css	etag:%224cc0100-1455-517f7d137a880%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/css/flexslider.css	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/css/flexslider.css	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
21:38:59	57094/57094	---M--	200	added ('OK')	text/css	etag:%224cc00ff-df06-517f7d1562d00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/css/animate.css	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/css/animate.css	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
21:38:59	33440/33440	---M--	200	added ('OK')	text/html	etag:%224cc1da6-82a0-52322c8c88d00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/index.html	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/index-2.html	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
21:39:01	2029/2029	---M--	200	added ('OK')	image/png	etag:%224cc0121-7ed-517f7d48e2680%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/logo-dark.png	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/logo-dark.png	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
21:39:01	46266/46266	---M--	200	added ('OK')	text/html	etag:%224cc1da5-b4ba-52322c8c88d00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/home-master.html	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/home-master.html	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
21:39:02	34891/34891	---M--	200	added ('OK')	text/html	etag:%224cc1da3-884b-52322c8c88d00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/home-animation.html	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/home-animation.html	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
21:39:04	31652/31652	---M--	200	added ('OK')	text/html	etag:%224cc1da4-7ba4-52322c8c88d00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/home-boxed.html	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/home-boxed.html	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
21:39:05	24706/24706	---M--	200	added ('OK')	text/html	etag:%224cc1db1-6082-52322c8c88d00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio.html	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/portfolio.html	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
21:39:05	22538/22538	---M--	200	added ('OK')	text/html	etag:%224cc1daf-580a-52322c8c88d00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio-masonry.html	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/portfolio-masonry.html	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
21:39:06	24834/24834	---M--	200	added ('OK')	text/html	etag:%224cc1dae-6102-52322c8c88d00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio-full.html	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/portfolio-full.html	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
21:39:07	24813/24813	---M--	200	added ('OK')	text/html	etag:%224cc1dad-60ed-52322c8c88d00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio-full-boxed.html	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/portfolio-full-boxed.html	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
21:39:08	18529/18529	---M--	200	added ('OK')	text/html	etag:%224cc1db0-4861-52322c8c88d00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio-single.html	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/portfolio-single.html	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
21:39:08	22498/22498	---M--	200	added ('OK')	text/html	etag:%224cc1d9b-57e2-52322c8c88d00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/blog-full.html	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/blog-full.html	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
21:39:09	26908/26908	---M--	200	added ('OK')	text/html	etag:%224cc1d9e-691c-52322c8c88d00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/blog-sidebar.html	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/blog-sidebar.html	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
21:39:10	26383/26383	---M--	200	added ('OK')	text/html	etag:%224cc1d9c-670f-52322c8c88d00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/blog-masonry.html	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/blog-masonry.html	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
21:39:10	25541/25541	---M--	200	added ('OK')	text/html	etag:%224cc1d9d-63c5-52322c8c88d00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/blog-post.html	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/blog-post.html	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
21:39:11	20130/20130	---M--	200	added ('OK')	text/html	etag:%224cc1db6-4ea2-52322c8c88d00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/typography.html	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/typography.html	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
21:39:12	35061/35061	---M--	200	added ('OK')	text/html	etag:%224cc1db4-88f5-52322c8c88d00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/shortcodes.html	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/shortcodes.html	(from http://bootstraplovers.com/templates/bizwrap-v1.6/)
